Fecha,Gas licuado de petróleo,Gasolina regular,Gasolina superior,Diesel alto azufre,Total
may-18,"403,094.74","544,395.17","570,129.66","7,736.86","3,074,194.97"
jun-18,"390,070.17","518,911.44","554,431.50","7,816.91","2,928,754.69"
jul-18,"381,128.08","541,811.12","589,775.97","8,053.83","2,954,974.60"
ago-18,"407,124.75","570,224.11","593,659.63","8,812.43","3,168,102.35"
sep-18,"385,717.79","531,285.29","551,547.83","7,081.41","2,942,320.24"
oct-18,"408,674.34","573,751.47","579,474.43","8,587.08","3,153,235.09"
nov-18,"408,049.58","563,417.57","573,687.35","7,844.21","3,206,614.65"
dic-18,"421,872.09","632,670.17","654,281.25","8,369.53","3,451,940.29"
ene-19,"421,555.41","596,682.75","601,714.90","8,625.62","3,292,337.05"
feb-19,"402,371.33","559,109.22","565,425.02","7,269.33","3,159,558.95"
mar-19,"428,149.45","645,266.77","610,720.58","8,943.32","3,720,674.28"
abr-19,"414,018.68","657,570.18","598,956.30","7,643.39","3,589,939.90"
may-19,"426,587.33","666,748.63","611,592.32","9,781.63","3,716,101.79"
jun-19,"399,031.61","641,136.56","595,744.38","8,360.35","3,361,236.58"
jul-19,"419,958.02","650,150.78","615,559.33","8,936.20","3,403,064.45"
ago-19,"419,493.82","668,783.39","632,415.70","9,041.15","3,426,509.17"
sep-19,"396,860.64","616,079.30","587,861.84","8,446.19","3,115,468.09"
oct-19,"433,917.15","669,008.77","643,044.33","9,433.36","3,357,671.90"
nov-19,"430,725.89","643,070.35","620,572.21","8,998.01","3,506,811.29"
dic-19,"428,697.64","706,020.77","682,468.14","9,456.65","3,624,556.63"
ene-20,"421,644.72","640,011.73","622,323.79","9,523.25","3,500,222.47"
feb-20,"426,533.15","652,028.00","633,100.05","9,821.78","3,569,175.82"
mar-20,"420,637.14","573,586.73","509,752.95","10,445.97","3,223,968.68"
abr-20,"345,933.61","458,420.85","391,773.23","5,620.48","2,537,123.53"
may-20,"362,987.37","478,771.83","407,482.52","4,099.92","2,745,842.36"
jun-20,"402,541.02","516,933.60","388,952.81","7,406.06","2,688,356.61"
jul-20,"423,328.22","567,052.50","462,380.81","5,067.16","2,908,363.29"
ago-20,"483,695.90","647,375.58","574,379.33","9,764.89","3,182,976.13"
sep-20,"439,581.36","661,665.58","610,445.10","9,735.38","3,139,895.21"
oct-20,"459,312.45","680,362.07","648,582.82","16,475.25","3,472,743.19"
nov-20,"421,504.59","652,630.16","639,856.62","10,704.69","3,309,212.60"
dic-20,"481,068.86","768,193.03","760,695.45","12,819.54","3,922,256.69"
ene-21,"485,759.13","685,942.97","655,512.66","12,064.41","3,522,552.61"
feb-21,"447,847.05","669,312.88","621,712.09","10,943.51","3,656,998.74"
mar-21,"513,966.39","773,453.52","692,240.49","10,508.49","3,960,276.38"
abr-21,"466,275.27","688,389.03","610,310.75","9,876.20","3,634,750.06"
may-21,"475,018.36","707,336.38","643,076.84","12,741.15","3,621,637.71"
jun-21,"475,462.79","692,598.71","637,332.81","10,188.84","3,525,258.27"
jul-21,"500,478.60","740,193.13","665,472.94","11,250.16","3,742,529.15"
ago-21,"492,629.81","668,221.54","636,824.61","10,524.54","3,462,877.26"
sep-21,"493,058.47","670,418.80","605,257.76","10,578.96","3,384,977.69"
oct-21,"497,279.70","718,676.32","675,821.54","10,922.71","3,877,025.02"
nov-21,"480,432.29","708,246.27","641,916.40","10,724.39","3,683,212.82"
